序号,景区名称,客流数,舒适度,时间
172611,上海田子坊景区,874,舒适,2018/8/31 22:20
172612,上海植物园,5726,舒适,2018/8/31 22:20
172613,东方假日田园,0,舒适,2018/8/31 22:19
172614,上海大观园,3,舒适,2018/8/31 22:19
172615,上海植物园,5726,舒适,2018/8/31 22:19
172616,周浦花海,283,舒适,2018/8/31 22:19
172617,上海影视乐园,200,舒适,2018/8/31 22:19
172618,上海科技馆,0,舒适,2018/8/31 22:18
172619,中国航海博物馆,45,舒适,2018/8/31 22:18
172620,上海植物园,5726,舒适,2018/8/31 22:18
172621,上海古猗园,0,舒适,2018/8/31 22:18
172622,上海植物园,5726,舒适,2018/8/31 22:17
172623,上海辰山植物园,58,舒适,2018/8/31 22:17
172624,上海影视乐园,200,舒适,2018/8/31 22:16
172625,上海植物园,5726,舒适,2018/8/31 22:16
172626,上海月湖雕塑公园,0,舒适,2018/8/31 22:16
172627,上海嘉定州桥,100,舒适,2018/8/31 22:15
172628,上海东林寺景区,0,舒适,2018/8/31 22:15
172629,上海和平公园,3248,较舒适,2018/8/31 22:15
172630,上海田子坊景区,892,舒适,2018/8/31 22:15
172631,上海世纪公园,506,舒适,2018/8/31 22:15
172632,上海植物园,5726,舒适,2018/8/31 22:15
172633,东方假日田园,0,舒适,2018/8/31 22:14
172634,上海影视乐园,200,舒适,2018/8/31 22:14
172635,上海大观园,3,舒适,2018/8/31 22:14
172636,上海金山嘴渔村景区,48,舒适,2018/8/31 22:14
172637,上海植物园,5726,舒适,2018/8/31 22:13
172638,上海古猗园,0,舒适,2018/8/31 22:13
172639,上海科技馆,0,舒适,2018/8/31 22:13
172640,上海植物园,5726,舒适,2018/8/31 22:12
172641,上海植物园,5726,舒适,2018/8/31 22:11
172642,上海月湖雕塑公园,0,舒适,2018/8/31 22:11
172643,上海影视乐园,200,舒适,2018/8/31 22:11
172644,上海长风公园,0,舒适,2018/8/31 22:10
172645,上海植物园,5726,舒适,2018/8/31 22:10
172646,上海植物园,5726,舒适,2018/8/31 22:09
172647,东方假日田园,0,舒适,2018/8/31 22:09
172648,上海影视乐园,200,舒适,2018/8/31 22:09
172649,中国航海博物馆,45,舒适,2018/8/31 22:09
172650,上海田子坊景区,981,舒适,2018/8/31 22:09
172651,周浦花海,283,舒适,2018/8/31 22:09
172652,上海大观园,3,舒适,2018/8/31 22:09
172653,上海植物园,5726,舒适,2018/8/31 22:08
172654,上海古猗园,0,舒适,2018/8/31 22:08
172655,上海科技馆,0,舒适,2018/8/31 22:08
172656,朱家角古镇,660,舒适,2018/8/31 22:08
172657,上海植物园,5726,舒适,2018/8/31 22:07
172658,上海植物园,5726,舒适,2018/8/31 22:06
172659,上海影视乐园,200,舒适,2018/8/31 22:06
172660,上海国际旅游度假区,11229,舒适,2018/8/31 22:06
172661,上海月湖雕塑公园,0,舒适,2018/8/31 22:06
172662,上海金山嘴渔村景区,49,舒适,2018/8/31 22:06
172663,上海东林寺景区,0,舒适,2018/8/31 22:05
172664,上海和平公园,3248,较舒适,2018/8/31 22:05
172665,上海世纪公园,506,舒适,2018/8/31 22:05
172666,上海植物园,5726,舒适,2018/8/31 22:05
172667,上海田子坊景区,1078,舒适,2018/8/31 22:04
172668,上海大观园,3,舒适,2018/8/31 22:04
172669,东方假日田园,0,舒适,2018/8/31 22:04
172670,上海影视乐园,200,舒适,2018/8/31 22:04
172671,上海植物园,5726,舒适,2018/8/31 22:03
172672,上海古猗园,0,舒适,2018/8/31 22:03
172673,上海科技馆,0,舒适,2018/8/31 22:03
172674,上海植物园,5726,舒适,2018/8/31 22:02
172675,上海辰山植物园,58,舒适,2018/8/31 22:02
172676,上海影视乐园,200,舒适,2018/8/31 22:01
172677,上海植物园,5726,舒适,2018/8/31 22:01
172678,上海月湖雕塑公园,0,舒适,2018/8/31 22:01
172679,上海鲜花港,34,舒适,2018/8/31 22:00
172680,上海市青少年校外活动营地——东方绿舟,1688,舒适,2018/8/31 22:00
172681,碧海金沙景区,34,舒适,2018/8/31 22:00
172682,上海花米庄行乡村旅游景区,0,舒适,2018/8/31 22:00
172683,中国航海博物馆,45,舒适,2018/8/31 22:00
172684,上海中医药博物馆,48,舒适,2018/8/31 22:00
172685,上海都市菜园景区,34,舒适,2018/8/31 22:00
172686,上海嘉定州桥,40,舒适,2018/8/31 22:00
172687,上海植物园,5726,舒适,2018/8/31 22:00
172688,上海玉穗绿苑,1540,舒适,2018/8/31 22:00
172689,上海影视乐园,200,舒适,2018/8/31 21:59
172690,东方假日田园,0,舒适,2018/8/31 21:59
172691,上海植物园,5726,舒适,2018/8/31 21:59
172692,周浦花海,283,舒适,2018/8/31 21:59
172693,上海大观园,3,舒适,2018/8/31 21:59
172694,上海金山嘴渔村景区,50,舒适,2018/8/31 21:58
172695,上海植物园,5726,舒适,2018/8/31 21:58
172696,上海古猗园,0,舒适,2018/8/31 21:58
172697,上海田子坊景区,1188,舒适,2018/8/31 21:58
172698,上海海洋水族馆,0,舒适,2018/8/31 21:57
172699,上海M50创意园,3010,较舒适,2018/8/31 21:57
172700,上海植物园,5726,舒适,2018/8/31 21:57
172701,上海国际旅游度假区--迪士尼乐园,0,舒适,2018/8/31 21:57
172702,上海国际旅游度假区--星愿公园,0,舒适,2018/8/31 21:57
172703,上海科技馆,0,舒适,2018/8/31 21:57
172704,上海月湖雕塑公园,0,舒适,2018/8/31 21:56
172705,上海长风公园,0,舒适,2018/8/31 21:55
172706,上海影视乐园,200,舒适,2018/8/31 21:55
172707,上海国际时尚中心,236,舒适,2018/8/31 21:55
172708,上海东林寺景区,0,舒适,2018/8/31 21:55
172709,上海植物园,5726,舒适,2018/8/31 21:55
172710,上海和平公园,3225,较舒适,2018/8/31 21:55
172711,上海世纪公园,506,舒适,2018/8/31 21:54
172712,上海植物园,5726,舒适,2018/8/31 21:54
172713,上海大观园,3,舒适,2018/8/31 21:54
172714,东方假日田园,0,舒适,2018/8/31 21:54
172715,上海影视乐园,200,舒适,2018/8/31 21:54
172716,上海植物园,5726,舒适,2018/8/31 21:53
172717,上海古猗园,0,舒适,2018/8/31 21:53
172718,上海田子坊景区,1261,舒适,2018/8/31 21:53
172719,上海科技馆,0,舒适,2018/8/31 21:52
172720,上海植物园,5726,舒适,2018/8/31 21:52
172721,上海月湖雕塑公园,0,舒适,2018/8/31 21:51
172722,上海植物园,5726,舒适,2018/8/31 21:51
172723,上海植物园,5726,舒适,2018/8/31 21:50
172724,上海影视乐园,200,舒适,2018/8/31 21:50
172725,上海金山嘴渔村景区,50,舒适,2018/8/31 21:50
172726,上海植物园,5726,舒适,2018/8/31 21:49
172727,上海影视乐园,200,舒适,2018/8/31 21:49
172728,周浦花海,283,舒适,2018/8/31 21:49
172729,上海大观园,3,舒适,2018/8/31 21:49
172730,东方假日田园,0,舒适,2018/8/31 21:49
172731,上海国际旅游度假区--生态园,0,舒适,2018/8/31 21:48
172732,上海植物园,5726,舒适,2018/8/31 21:48
172733,中国航海博物馆,45,舒适,2018/8/31 21:48
172734,上海古猗园,0,舒适,2018/8/31 21:48
172735,朱家角古镇,646,舒适,2018/8/31 21:48
172736,上海植物园,5726,舒适,2018/8/31 21:47
172737,上海科技馆,0,舒适,2018/8/31 21:47
172738,上海田子坊景区,1283,舒适,2018/8/31 21:47
172739,上海辰山植物园,58,舒适,2018/8/31 21:47
172740,上海影视乐园,200,舒适,2018/8/31 21:45
172741,上海月湖雕塑公园,0,舒适,2018/8/31 21:45
172742,锦江乐园,455,舒适,2018/8/31 21:45
172743,上海东林寺景区,0,舒适,2018/8/31 21:45
172744,上海植物园,5726,舒适,2018/8/31 21:45
172745,上海嘉定州桥,64,舒适,2018/8/31 21:45
172746,上海和平公园,3193,较舒适,2018/8/31 21:45
172747,锦江乐园,455,舒适,2018/8/31 21:45
172748,上海影视乐园,200,舒适,2018/8/31 21:44
172749,东方假日田园,0,舒适,2018/8/31 21:44
